RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1761.1362714676507,1774.5368110974184,1792.1618439217777,1805.9591309093428,1821.6609092106785,1832.4034327557322,1846.8637700197487,1856.507319053292,1869.2247584840406,1875.0059336135168,1882.229142152225,1888.6698069550337,1899.6329498895261,1912.861825978422,1928.450839181334,1940.0534345835492,1953.1158461750572,1963.3884429657512,1976.4492308889521,1983.9613094516478,1989.6954146307862,1991.6355020612446,1993.3640132085086,1998.3865711906328,2013.4911537784508,2029.877782870763,2050.4136437839875,2063.197413396763,2078.757320860508,2088.334498330552,2099.8761300328392,2105.0385099752975,2110.7709096408694,2113.317864862832,2118.8104654878075,2123.6702601396896,2134.753021048684,2148.1834147490263,2160.2880365059173,2170.0669385786427,2178.786384429964,2192.0363420075832,2204.2360534854074,2214.9389471406134,2219.418110798701,2222.9099157905684,2227.9183621013653,2233.235942734913,2239.686552135432,2244.000759784853,2257.643111050212,2269.473697997244,2283.065672775926,2292.2359668233025,2300.780868518557,2307.4910972407265,2310.8801045742416,2312.575314801304,2313.461488073868,2316.5235418436573,2321.6348585055243,2326.052107622812,2326.321755310712,2317.997390910899,2309.5449458841576,2304.830152245877,2306.018867370891,2305.122065028964,2299.3504828858686,2294.8933855426685,2292.8740257495006,2290.4958216002083,2294.3476265633844,2299.2538157919766,2310.5276759502717,2320.7320076936535,2339.501361235785,2370.5825025576623,2409.5375989004488,2452.8007042210165,2486.2959608049696,2508.5552103336445,2521.1833703531943,2538.2660759239743,2557.527415405448,2583.9778649471264,2607.071947467583,2634.3158598246014,2657.2357455285414,2679.102315519269,2699.5855869992492,2716.4395885677623,2726.645820142938,2724.1138813216553,2718.6540957084276,2714.3776180167724,2717.167857899762,2724.3971217579283,2737.6252354912467,2748.4598433745887,2755.89358016607,2760.6469370994114,2766.4758117916585,2774.4682098277826,2775.5230308422206,2774.3641162766967,2764.922387836208,2760.117155433064,2763.746930608479,2773.2109242341135,2789.2484716455524,2800.752525671262,2815.8642622619714,2825.969739114466,2838.2045028317257,2842.7508690061068,2848.5925715989692,2846.4169391605055,2844.4793125537594
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1414.2226179304653,1422.7404146083945,1433.5016259951667,1442.3410222917537,1453.4518030176441,1463.7228926284524,1469.2345619473972,1472.3398454539974,1467.2361077865055,1459.377391390594,1450.2699143065997,1449.3144207486155,1458.165388977728,1470.2964416144143,1482.691766994504,1490.4494060761563,1497.638511507053,1506.5847099056134,1513.589643265537,1518.3894842933123,1511.3471854465856,1499.970579271622,1485.8525400272904,1479.2204077139806,1485.7736470939647,1501.513711078236,1520.9948486069866,1534.7854264911161,1545.9521224684202,1552.1748036662434,1554.114391529545,1549.1600644466664,1541.6607378316485,1528.7885738398625,1519.3762011789222,1516.4686657840793,1525.5608529049866,1539.4486482038335,1552.7168628802171,1563.6668102306494,1573.6428126582011,1583.1215044496134,1588.6290526778969,1586.4497283668063,1574.5415322933104,1561.1616075408338,1551.7775436717452,1552.1141369967838,1561.2281597342796,1572.6950532925207,1589.650962145377,1603.1060852096286,1615.7484311535484,1622.8059064330087,1626.5126029701714,1627.4736544941586,1622.6311839290872,1615.264745425993,1605.970113189306,1600.5154459963737,1608.7623047037846,1621.3224459707467,1635.6032106710582,1636.5433580182757,1634.7595586185646,1631.4030996378237,1628.782160454085,1620.2086886742761,1601.8234947982928,1575.1306454340138,1551.5325575409022,1541.769443592411,1543.3901271702728,1556.8578453110672,1575.484535270886,1603.6435128205094,1631.7832847496554,1657.56726560238,1675.6790061184972,1686.8302768140554,1690.786403218319,1688.711160381211,1686.3150372322818,1691.118088905275,1705.3500076233186,1723.0119840542607,1744.797333578699,1768.3050524542323,1794.4361620764914,1814.674747826847,1831.0154822120796,1837.8486308000188,1836.8146171725714,1831.9068962700999,1827.18346951282,1829.322327640738,1837.2772713890563,1851.8875024345525,1869.3275732066845,1888.565620511327,1910.6365813304556,1929.9533623012142,1941.2003483259912,1945.7592826380453,1939.6670282230502,1928.23629133125,1917.0901860790395,1918.5906149075463,1929.934656171528,1948.3067563207908,1965.1716100108379,1987.554229712271,2006.0740193188299,2022.9833305043128,2029.4608092467513,2028.9908839022987,2023.6427102666973,2019.8136850033209,2021.3584804936052
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1207.8455378440028,1210.6239828723305,1216.457489560643,1226.7424146087267,1236.8880345326886,1245.5225922358752,1246.5318087526155,1248.3218246238107,1246.5814690610362,1244.17021799398,1240.4302899544111,1237.9798556832427,1239.324573932241,1241.9363814661156,1248.475136702815,1253.3811190155134,1255.7993411292093,1256.005870892923,1255.375201639357,1253.2790678068077,1248.4633263775245,1245.5071435167547,1240.7561015121876,1238.41545372267,1238.2839051504902,1246.0857572127952,1254.729179046292,1259.0181390869052,1266.077208766827,1267.0895381897062,1268.1369847060841,1263.089366413866,1270.00855090409,1278.6129315846865,1290.9927006199734,1298.2702411633447,1300.9307814595568,1306.0607566096523,1306.5439595184127,1314.528860417071,1317.1937328494244,1322.6270888556273,1321.959434624982,1320.3037593725032,1315.9477144313498,1316.8111887111263,1318.8318100009983,1319.6642983620084,1319.5276316960135,1316.9284376063088,1323.0008344147689,1328.171169335487,1338.422982942607,1345.4053297229057,1349.7323466416706,1349.4391954981547,1345.7130544850352,1344.5959485689236,1343.463820885196,1346.874187263443,1349.810940733281,1356.8083360016074,1362.9350341948145,1359.8269967574624,1353.216691706779,1346.6003734127662,1350.3936931690896,1354.1721693135369,1354.2910571446578,1355.1050159830231,1355.9706217578353,1356.0156461971233,1357.5474122206783,1358.8826105678909,1366.3442959334338,1378.8336800257673,1399.1800409478935,1426.7682100146365,1451.171351446636,1473.8207182219858,1486.95739042481,1494.772484185539,1499.1780393635763,1502.0403711430952,1508.6452709465996,1518.0663445212233,1528.7344756556558,1539.8453015015416,1551.152371751548,1566.077064955146,1578.8354807982594,1585.9273444168325,1583.8537761905018,1578.3124948087373,1572.3043904323627,1570.9270858918464,1576.2710522497,1584.1615377981575,1595.4615576177619,1599.790484124633,1608.7057028697761,1615.9605425568523,1622.8381311177081,1624.0603135765568,1620.3140407742164,1615.0566126239507,1610.7797119984123,1610.7115255548108,1615.8865090166546,1621.9817396998205,1626.5081101137466,1633.5558786125905,1642.258450682308,1650.9867682602103,1655.1374138429592,1658.2713813118721,1659.8364505300756,1659.260046996158,1654.4564819365871
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,938.0825175967058,953.3333970013833,960.7956928980457,974.4391840405893,974.6473275480918,982.5836641759671,982.3695322128362,983.7637416288376,986.7805191335106,989.7725552768093,993.2967329862033,994.8429916564372,1000.1613055500225,1005.7190631169766,1012.9253100193246,1019.9846892603829,1027.4672202780134,1034.4106305665248,1038.5338086655358,1040.4945453514072,1041.7686664784615,1041.3782666058453,1042.867664172194,1043.7264539179127,1050.4118908046805,1058.8000821388475,1070.7736916195015,1080.279246568102,1090.1334058617952,1096.3702668114408,1101.7455680371572,1103.8857179848583,1106.197120871002,1108.3084609506213,1111.3641347490984,1113.8295317321315,1118.1039984727788,1123.9954443683719,1136.2375552996093,1150.0404992111366,1161.8094377006198,1170.2061702971155,1176.784136260005,1182.8969272760557,1188.853429723945,1193.0124951640817,1198.2698631396247,1203.4355721653199,1207.5978461626082,1216.386018543411,1226.9146300026896,1242.589735774114,1254.2016468798033,1264.7170969452786,1272.6685694988355,1280.1321161480116,1285.1408735008952,1288.7164370199234,1293.9409150151987,1302.4110625780838,1312.479173813193,1323.2510037997024,1328.7042302847822,1327.9899790813129,1326.5254715523247,1329.7511397264332,1343.343145657162,1359.474511453345,1375.5262667964291,1389.829676085209,1402.882388830622,1414.1185989217427,1426.2645521931079,1439.249207085161,1460.8169917502084,1489.4214038519196,1530.2140898047949,1576.6385990274403,1626.6447897927603,1670.2371986488688,1703.2072452436325,1724.8176176909644,1737.6902804604774,1747.5103332038725,1756.9882697929095,1768.1759860754441,1782.0114922627588,1794.1653620482277,1803.5071038265405,1810.7887975982837,1816.3941444036718,1816.9423194866029,1809.6379003413672,1798.5473379655066,1788.6119875484303,1783.3796297442148,1780.3116616617804,1785.4963897720365,1799.0661017972163,1807.6140273468816,1812.4962237437976,1810.7825850039887,1814.4473772671402,1813.5694691911226,1809.8396835780372,1803.332854314914,1795.0070664713483,1789.2336498395916,1790.729199585851,1801.2768664435791,1813.3326022848778,1823.3704296942883,1828.656547555016,1828.9480881430454,1829.6624637939326,1828.977587224023,1828.1990540866252,1818.6348776030582,1809.4079894256918
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1678.1816766109614,1689.6231188723311,1699.1174529530342,1702.4748255528423,1714.1486978744656,1722.1435601674987,1739.1391237939622,1749.5002704063309,1758.1354077561625,1762.3516082459323,1760.8088054414227,1768.2171402072422,1773.2234391442444,1782.2687842126456,1791.9403357342442,1802.199255734654,1816.7224397404839,1831.0874250477423,1843.8208797492805,1850.846479866665,1853.9412776718916,1856.0480757477278,1856.8511307123981,1859.5577690881994,1865.8263598085396,1881.8854733040112,1900.1952720872964,1918.3427046804286,1934.8101948270867,1946.9868049179054,1959.8286969519643,1965.0394386890184,1968.2993435193798,1968.2476959863313,1967.9741892153986,1970.2115914886738,1980.6218785257104,1993.2944308235906,2007.8764626220986,2018.8677593618204,2035.37172588953,2046.4134685296076,2057.284239299991,2064.538646780504,2069.9298350896765,2070.3060195518437,2065.7020153837348,2068.4742057680864,2073.2733867305337,2080.694023946371,2086.7542496118513,2097.342356195647,2109.7991819622425,2121.8142031810953,2133.0833109797595,2141.247767232525,2143.9272420853003,2144.2786877399517,2144.799580870157,2149.164424215575,2154.7020191158504,2160.227797021645,2163.7009212312378,2154.429400948614,2147.736988301122,2146.5843960881894,2157.9694773902775,2167.0987876072645,2178.977763548605,2195.5501286684057,2210.5679944043027,2221.326324944904,2228.109482183763,2238.7423826978857,2256.613353715061,2285.023902379138,2322.679017858922,2360.904327277425,2411.0568642254198,2464.431287761385,2521.365359115789,2555.5624764668332,2577.9237343923423,2593.7584504156484,2613.5858029391475,2641.365869346653,2671.400375116464,2716.413482184969,2761.4179796570065,2809.7651510777905,2843.4027253496497,2871.6929845895834,2877.5290446674057,2871.3727181171826,2851.0817135564535,2840.689912993299,2834.0471429886306,2843.4590049311773,2868.5713957125045,2900.210555289221,2934.1734605716897,2956.786951620698,2975.61221956348,2983.296697317958,2980.3542658856,2964.649216043639,2941.124989716438,2922.7261973086956,2916.4831678860514,2928.5913971692107,2948.721151756106,2974.768338483123,2993.5731237763057,3012.317583630758,3023.6144029069123,3026.4810544432185,3024.0128190366013,3019.526062170439,3017.0406581668863
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1931.9079661505575,1943.1209172172066,1953.1473391368418,1966.885662802096,1977.3066602448228,1991.173207379369,2001.767080927057,2015.0363347962596,2017.8017414909568,2022.408750785775,2018.4121855159162,2022.999113678501,2028.720517321505,2039.2085924960534,2045.0771788179115,2050.840337540148,2066.1765513277587,2084.322459636501,2096.55495630926,2097.8347759022213,2100.614624645701,2098.5720374422544,2104.2652776232235,2099.093838737837,2110.1328437937736,2122.318318926447,2145.941932011777,2162.413297904636,2171.4644712328804,2180.2462602223573,2185.700130474299,2191.28353831913,2193.9329245901185,2191.10015930931,2193.836099434667,2195.1171840754378,2205.5991108806647,2212.0997379017354,2224.4073884762174,2232.3390946216527,2239.6830500271776,2246.1496369507295,2251.601581382445,2253.2679810203176,2254.574398047692,2256.8686632407776,2262.166784753952,2265.312223078645,2267.5694212442377,2273.9028123918843,2282.836073705033,2290.586812152149,2300.6020075219785,2308.7452812131455,2319.7225749598247,2323.111532043327,2325.8005870772395,2326.3588005499187,2331.9649789272285,2332.646342315458,2341.3801517560255,2346.6092546150594,2352.7973559358684,2336.343526481115,2320.276750135309,2309.393753701504,,2324.619260941327,2339.4772324854875,2354.1838032904116,2363.204900377233,2370.0546129391646,2383.017560120091,2403.4360396190827,2426.7977818564054,2447.5172405989642,2476.2409374811027,2523.0453659530285,2596.4123773730685,,2761.9404083636864,2806.4771773990337,2830.374453815209,2843.177248236823,2860.62040472173,2880.010450514151,2908.756575623309,2942.9897859257835,2973.7312219251016,3002.8597728210825,3023.213071778943,3033.825796690158,3029.2840775151312,3017.557080307015,3002.3139010751593,2987.79550057599,2976.4430413215127,2976.995004348784,2987.299625487791,3003.093881236745,3020.574564036605,3041.871815976992,3074.6827268939414,3104.6857613407474,3116.8049001689797,3115.009264611284,3099.3494750847863,3099.0295863295255,3097.561247287088,3108.267385971149,3109.5887095675685,3120.042056560264,3133.1954650257003,3154.180782675358,3172.2487701658342,3185.4666626817616,3191.6273644135526,3194.1195472584154,3189.045814539757
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2269.958801886295,2286.9798378653422,2310.739528105104,2329.648133368403,2353.2822696516473,2381.182279378532,2398.7677841372924,2409.4876299281973,2423.7096029311897,2434.321160913482,2426.0605722664777,2402.9875702618156,2390.194138157816,2394.4693778031233,2409.049479560011,2416.134599086275,2422.034971317079,2433.132347020545,2450.2971214188756,2466.3106490364376,2473.3493284028605,2470.9554987178412,2472.815585229622,2459.967732772236,2450.7393654619577,2439.6119427532512,2444.172869290791,2457.596330443788,2470.065152994775,2485.6697366469093,2502.2534914305343,2516.4317838525144,2516.085200145995,2497.9560321237905,2477.837749431012,2464.980202470722,2464.661544032876,2466.968732743727,2480.169274474386,2497.8928465841045,2515.9113722528396,2530.893687878318,2541.3396476301828,2551.7566909661227,2553.7852765695184,2545.41234912161,2531.6929442155038,2514.326402329589,2517.2212752141095,2529.7964401819218,2555.9169182810574,2572.8542440941715,2596.055689648464,2612.5547689325413,2636.667393556916,2651.9136408859013,2666.679725950359,2669.825946515013,2667.187855391382,2659.39263600865,2657.8086324653304,2666.2129143288935,2681.3982124145746,2676.1114839264847,2657.3120969808156,2626.005830545553,2602.953336259198,2567.612212177823,2520.90782474696,2476.7118565334176,2444.009181054481,2425.884476455052,2418.576734613345,2425.6157265168904,2446.0075341800107,2478.0896570021323,2516.2246546581237,2567.738304481512,2621.52452718252,2675.7565032320676,2722.8621850244795,2747.681462609599,2768.8590541222707,2777.8405759407387,2808.7035648033825,2842.984186159959,2893.268401258383,2938.3369016799384,3000.1967815413545,3061.7629216922855,3122.234267557063,3160.5177024365357,3171.3709572752696,3162.381828026048,3124.2461695226425,3092.06638904323,3082.342882357847,3097.0021937532415,3119.5120275256013,3147.960401820185,3182.9460101164045,3225.0169801404436,3252.6608570038297,3270.4626104779795,3274.8232222531956,3258.7681176879655,3218.397350052506,3191.268033735448,3189.249000987661,3216.388552405887,3245.308257702172,3271.9194694547937,3310.0896196975164,3345.789209866689,3371.097991821442,3371.7681853335384,3358.202741873101,3336.2251689349846,3310.042225753612
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1643.5019760863433,1654.375484276687,1666.5150261423983,1676.7089833900843,1687.247911541037,1694.8718140939684,1703.2438281586096,1709.7013184047785,1717.80409805572,1719.5429556413478,1726.0227305612427,1730.247793011651,1737.523056175609,1741.101118727822,1745.185999586686,1744.886515232324,1744.4020311012398,1741.3811522249605,1741.7933574305416,1738.6104370466655,1738.3982726729173,1735.7660719261219,1733.7564942894317,1729.1608978496586,1734.3145712944945,1740.3566031321095,1750.4321538073057,1751.7661421925843,1754.7403110212292,1755.7260073067325,1756.9793276195435,1759.7998688742884,1762.865835581054,1767.0659446378688,1766.577349977576,1767.179906312524,1769.6703773262097,1774.823115406137,1779.8450106321825,1784.9714552908008,1788.5981905171916,1794.0937401828758,1798.2715131372238,1803.8845741250918,1806.7944485125406,1810.8937929865297,1813.186587553204,1816.4189104462566,1817.783091455689,1816.0551624457432,1819.2343623384822,1824.0523649330573,1831.9349643966366,1835.0931258378141,1835.5650874877492,1837.8720554577612,1839.0877724004654,1847.6329340429756,1857.418011538297,1867.4081862580888,1870.89899944049,1873.444945046649,1871.5689440443568,1861.3694565237995,1847.7138099818048,1843.0340046866086,1846.1413271817703,1847.6314782442264,1843.774535238413,1847.6567660187138,1862.0376751286244,1880.5392823585246,1904.516201577503,1939.5240359138675,1977.6464630709688,2020.7463808296309,2063.820270393029,2119.625688616761,2186.6149495401505,2251.2358652381736,2309.3460187840333,2355.1550474640276,2399.1015679198954,2452.853090999322,2500.4802852678,2564.460596864543,2621.3631906425135,2685.278537253692,2731.735257622134,2766.5854914173638,2791.68197602758,2802.276758538578,2810.4630460318344,2805.278604938863,2801.959797787697,2803.914006832949,2808.038887757095,2817.3506489344118,2827.6267119314407,2841.4820783974133,2847.5552283080815,2847.291149542567,2845.467307198505,2840.857676633818,2837.369042190323,2836.828872625324,2842.8398574570892,2842.0211523908097,2844.628423534047,2856.494437925489,2878.38903224278,2897.8010631185475,2907.1039803104295,2907.3401911984215,2909.1633796444726,2908.155047913779,2913.5147760371387,2912.2804704081673,2910.9718345231595
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1055.5023246945616,1057.9600447013368,1064.9955895392063,1079.2712659020049,1091.8166445381723,1101.0298436985088,1109.5989742900367,1113.098321890245,1115.166934973112,1115.8545100746842,1120.3359863105006,1123.4913346329727,1126.2922693350338,1131.0400420625865,1138.4112962843526,1148.9634939311634,1157.3496863308706,1167.563275872289,1171.214008096578,1175.1278437378626,1175.136332087498,1180.4182118880383,1183.53413151653,1187.6440518868828,1194.0850708334353,1198.15906366966,1209.2712095983738,1217.6622001177632,1231.0020618603187,1236.0576855759264,1240.573579808006,1240.4991176226001,1240.4036136031584,1238.0340131080093,1245.1996089822255,1249.3968722823045,1253.9840086455945,1259.5696323842003,1261.9536421599607,1266.2422351344853,1265.638142676235,1277.4769026090987,1283.2302251522572,1288.0779563948452,1281.4004505865528,1283.3188714866474,1284.540286019291,1288.2176343783062,1293.54732828158,1296.709593924242,1306.7689583819317,1314.4682412633263,1322.899034485407,1334.2655816889808,1336.5572253557739,1340.1616105621354,1338.1813885529816,1337.112361777796,1332.7701730831031,1325.7567021674413,1329.7111326436118,1336.0494414480345,1344.0590067309058,1341.1644853308242,1337.291243431902,1335.5267586835714,1336.9646101882363,1339.6597130149128,1341.4216181028462,1344.373980672989,1343.9917512006111,1346.6088340367726,1350.0139929306529,1360.4937421763698,1369.5299524307434,1387.8465842230394,1410.668639285633,1444.0232923469825,1478.4926599726896,1509.702071603426,1532.5138936474782,1544.5492620252323,1554.2281696677758,1561.5555359642906,1573.754597527552,1589.6730587412178,1603.147460467609,1623.1586174014337,1644.9350446559333,1679.2913104359495,1701.8755612015962,1710.0005950551717,1703.6788430395773,1686.8889406520177,1675.120269240909,1664.02958912717,1663.140697606586,1664.6429730274835,1674.5064672602268,1681.3936130181812,1689.6728383703487,1694.7515091785394,1701.3162553136399,1702.0654625581144,1696.7872818781618,1689.424838789327,1683.4322443474364,1677.6809637852364,1675.801552092987,1672.8247465072857,1673.1793045987438,1674.589798654491,1682.4041776040328,1692.3537003917754,1701.4344421765757,1706.559973289795,1702.7167167590778,1696.2931106583424,1691.3800536001818
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1372.9301653668797,1375.1728418470313,1377.50406782739,1385.183842547721,1392.7021437656051,1404.2409783871344,1413.6160302622582,1418.7814805069577,1425.3216295492994,1432.6494087483243,1439.1565700503427,1443.288718990429,1442.8950237371291,1450.6840190523806,1453.3453891911197,1454.1985061501432,1458.406693250031,1464.8858460478418,1476.8201741766563,1481.9103454450849,1494.865012003162,1497.0095646405753,1504.487538783205,1501.8488832773396,1517.3484614821048,1527.7661222944012,1541.3770719210422,1551.907175133046,1559.8442879630275,1571.532434455241,1579.7480861447168,1591.7629279395017,1596.7337198738717,1601.6030807844104,1606.2538169718975,1609.6693623067924,1617.8268913113502,1628.2111281261457,1639.9435224628473,1643.3023390657602,1645.8756848730886,1653.2516052739775,1663.6342005872143,1673.9320347700573,1684.630660876886,1696.2361109322835,1703.6028307844297,1708.9817695868169,1709.4664418224663,1711.5293087428893,1718.8775553847966,1729.8216490299283,1741.585484890529,1748.992878592379,1758.308561767479,1768.2302113494563,1774.2008174221453,1781.128150241255,1783.5866243066441,1789.483708353687,1791.5549922862447,1799.8690172767551,1803.328883608758,1800.048696248517,1794.2323840381227,1803.673459804542,1825.6058701164673,1857.395619409382,1885.5472678466042,1912.8926851291128,1936.4681943777148,1957.9691695601782,1980.6474252328412,2004.2175100136492,2029.336495813547,2045.3685654633284,2080.3836702228487,2118.0022543086807,2175.155682519329,2220.7168327603276,2262.727057925139,2284.0524920811913,2301.920257873925,2306.2220530288587,2327.5343290101378,2342.5239888129026,2377.671036640801,2403.882697890936,2423.3603351260167,2439.2853991766797,2451.5971505388247,2466.256212462216,2473.575777674855,2469.6987936424216,2460.045325317482,2451.2974997861525,2452.4855155918453,2459.9898809304445,2470.0511397925225,2476.620173264264,2481.750733558045,2482.315102344466,2486.936036576438,2497.477949969816,2503.172591840397,2522.491003082304,2520.516538379721,2525.867465012023,2513.7152488244446,2530.537022299159,2539.471806250979,2556.151141935088,2564.694448830792,2569.2351513142535,2582.3499947265964,2586.65338630524,2605.60269652085,2605.5297409516124,2601.3248224946224
